Confirmed,State,County Name,Special Id,Production,Control Area Released,Search filter,Table Sort Filter,Control Zone Release,"County, State",Incident Site Name,ip_control_zone_ps,Production Type Name,Species Name,Birds Affected,Flock Herd Inventory
3/2/2026 12:00:00 AM,New Jersey,Monmouth,Monmouth 02,WOAH Non-Poultry,NA,True,Confirmation Date,,"Monmouth, New Jersey",New Jersey,False,WOAH Non-Poultry,Chicken,9,9
3/14/2024 12:00:00 AM,Oregon,Klamath,Klamath 02,WOAH Non-Poultry,NA,True,Confirmation Date,,"Klamath, Oregon",Oregon,False,WOAH Non-Poultry,Chicken,10,10
10/12/2022 12:00:00 AM,Wyoming,Fremont,Fremont 02,WOAH Non-Poultry,03-Nov-22,True,Confirmation Date,11/3/2022 12:00:00 AM,"Fremont, Wyoming",Wyoming,True,WOAH Non-Poultry,Chicken,30,30
2/26/2026 12:00:00 AM,New York,Queens,Queens 22,Live Bird Market,NA,True,Confirmation Date,,"Queens, New York",New York,False,Live Bird Market,Chicken,510,510
2/14/2025 12:00:00 AM,Indiana,Washington,Washington 01,Commercial Turkey Meat Bird,13-Mar-25,True,Confirmation Date,3/13/2025 12:00:00 AM,"Washington, Indiana",Indiana,True,Commercial Turkey Meat Bird,Turkey,"14,100",14100
4/14/2025 12:00:00 AM,Ohio,Darke,Darke 26,Commercial Table Egg Layer,03-May-25,True,Confirmation Date,5/3/2025 12:00:00 AM,"Darke, Ohio",Ohio,True,Commercial Table Egg Layer,Chicken,"293,300",293300
1/8/2026 12:00:00 AM,Texas,Carson,Carson 02,WOAH Non-Poultry,NA,True,Confirmation Date,,"Carson, Texas",Texas,False,WOAH Non-Poultry,Chicken,20,20
1/28/2025 12:00:00 AM,Indiana,Shelby,Shelby 01,WOAH Non-Poultry,NA,True,Confirmation Date,,"Shelby, Indiana",Indiana,False,WOAH Non-Poultry,Poultry,60,60
10/8/2025 12:00:00 AM,Montana,Cascade,Cascade 04,WOAH Non-Poultry,NA,True,Confirmation Date,,"Cascade, Montana",Montana,False,WOAH Non-Poultry,Goose,70,70
4/7/2022 12:00:00 AM,North Carolina,Wayne,Wayne 05,Commercial Turkey Meat Bird,05-May-22,True,Confirmation Date,5/5/2022 12:00:00 AM,"Wayne, North Carolina",North Carolina,True,Commercial Turkey Meat Bird,Turkey,"18,500",18500
6/9/2022 12:00:00 AM,Washington,Yakima,Yakima 01,WOAH Non-Poultry,01-Jul-22,True,Confirmation Date,7/1/2022 12:00:00 AM,"Yakima, Washington",Washington,True,WOAH Non-Poultry,Chicken,70,70
10/14/2025 12:00:00 AM,Oregon,Malheur,Malheur 02,WOAH Non-Poultry,NA,True,Confirmation Date,,"Malheur, Oregon",Oregon,False,WOAH Non-Poultry,Chicken,70,70
12/5/2023 12:00:00 AM,California,Stanislaus,Stanislaus 03,Commercial Broiler Production,25-Dec-23,True,Confirmation Date,12/25/2023 12:00:00 AM,"Stanislaus, California",California,True,Commercial Broiler Production,Chicken,"254,400",254400
11/18/2022 12:00:00 AM,North Carolina,Union,Union 01,WOAH Non-Poultry,NA,True,Confirmation Date,,"Union, North Carolina",North Carolina,False,WOAH Non-Poultry,Chicken,50,50
9/14/2022 12:00:00 AM,Minnesota,Meeker,Meeker 08,Commercial Turkey Meat Bird,06-Oct-22,True,Confirmation Date,10/6/2022 12:00:00 AM,"Meeker, Minnesota",Minnesota,True,Commercial Turkey Meat Bird,Turkey,"61,400",61400
12/10/2024 12:00:00 AM,South Dakota,Moody,Moody 02,Commercial Turkey Meat Bird,26-Dec-24,True,Confirmation Date,12/26/2024 12:00:00 AM,"Moody, South Dakota",South Dakota,True,Commercial Turkey Meat Bird,Turkey,"46,700",46700
12/13/2022 12:00:00 AM,Oregon,Columbia,Columbia 02,WOAH Non-Poultry,NA,True,Confirmation Date,,"Columbia, Oregon",Oregon,False,WOAH Non-Poultry,Duck,100,100
9/30/2025 12:00:00 AM,Montana,Broadwater,Broadwater 01,WOAH Non-Poultry,NA,True,Confirmation Date,,"Broadwater, Montana",Montana,False,WOAH Non-Poultry,Chicken,8,8
10/9/2025 12:00:00 AM,Oregon,Deschutes,Deschutes 10,WOAH Non-Poultry,NA,True,Confirmation Date,,"Deschutes, Oregon",Oregon,False,WOAH Non-Poultry,Multiple Poultry Species,20,20
1/3/2025 12:00:00 AM,Idaho,Canyon,Canyon 15,WOAH Non-Poultry,NA,True,Confirmation Date,,"Canyon, Idaho",Idaho,False,WOAH Non-Poultry,Chicken,20,20
12/31/2024 12:00:00 AM,California,Riverside,Riverside 03,Commercial Table Egg Layer,15-Feb-25,True,Confirmation Date,2/15/2025 12:00:00 AM,"Riverside, California",California,True,Commercial Table Egg Layer,Chicken,"181,300",181300
2/4/2025 12:00:00 AM,Maryland,Worcester,Worcester 01,Commercial Broiler Production,26-Feb-25,True,Confirmation Date,2/26/2025 12:00:00 AM,"Worcester, Maryland",Maryland,True,Commercial Broiler Production,Chicken,"168,300",168300
5/10/2022 12:00:00 AM,Washington,Pierce,Pierce 02,WOAH Non-Poultry,10-Jun-22,True,Confirmation Date,6/10/2022 12:00:00 AM,"Pierce, Washington",Washington,True,WOAH Non-Poultry,Chicken,20,20
3/20/2024 12:00:00 AM,Texas,Deaf Smith,Deaf Smith 01,WOAH Non-Poultry,NA,True,Confirmation Date,,"Deaf Smith, Texas",Texas,False,WOAH Non-Poultry,Chicken,50,50
2/18/2026 12:00:00 AM,South Dakota,Charles Mix,Charles Mix 15,Commercial Turkey Meat Bird,Active,True,Confirmation Date,,"Charles Mix, South Dakota",South Dakota,True,Commercial Turkey Meat Bird,Turkey,"55,600",55600
12/17/2024 12:00:00 AM,Nebraska,Lancaster,Lancaster 01,WOAH Poultry,31-Dec-24,True,Confirmation Date,12/31/2024 12:00:00 AM,"Lancaster, Nebraska",Nebraska,True,WOAH Poultry,Multiple Poultry Species,290,290
1/9/2025 12:00:00 AM,Georgia,Clayton,Clayton 01,WOAH Non-Poultry,NA,True,Confirmation Date,,"Clayton, Georgia",Georgia,False,WOAH Non-Poultry,Multiple Poultry Species,10,10
9/19/2022 12:00:00 AM,Nebraska,Dawes,Dawes 01,WOAH Non-Poultry,06-Oct-22,True,Confirmation Date,10/6/2022 12:00:00 AM,"Dawes, Nebraska",Nebraska,True,WOAH Non-Poultry,Chicken,40,40
4/26/2022 12:00:00 AM,Iowa,Kossuth,Kossuth 01,WOAH Non-Poultry,08-May-22,True,Confirmation Date,5/8/2022 12:00:00 AM,"Kossuth, Iowa",Iowa,True,WOAH Non-Poultry,Poultry,4,4
12/11/2023 12:00:00 AM,Minnesota,Olmsted,Olmsted 01,Commercial Turkey Breeder Hens,05-Jan-24,True,Confirmation Date,1/5/2024 12:00:00 AM,"Olmsted, Minnesota",Minnesota,True,Commercial Turkey Breeder Hens,Turkey,"14,400",14400
9/20/2022 12:00:00 AM,South Dakota,Clark,Clark 04,Commercial Turkey Meat Bird,11-Oct-22,True,Confirmation Date,10/11/2022 12:00:00 AM,"Clark, South Dakota",South Dakota,True,Commercial Turkey Meat Bird,Turkey,"41,700",41700
2/2/2026 12:00:00 AM,Washington,Yakima,Yakima 06,WOAH Non-Poultry,NA,True,Confirmation Date,,"Yakima, Washington",Washington,False,WOAH Non-Poultry,Multiple Poultry Species,30,30
2/20/2024 12:00:00 AM,North Carolina,Duplin,Duplin 01,Commercial Turkey Meat Bird,11-Mar-24,True,Confirmation Date,3/11/2024 12:00:00 AM,"Duplin, North Carolina",North Carolina,True,Commercial Turkey Meat Bird,Turkey,"20,900",20900
12/9/2024 12:00:00 AM,California,Kern,Kern 03,WOAH Poultry,24-Jan-25,True,Confirmation Date,1/24/2025 12:00:00 AM,"Kern, California",California,True,WOAH Poultry,Chicken,"45,400",45400
1/4/2025 12:00:00 AM,Michigan,Ottawa,Ottawa 07,Commercial Turkey Meat Bird,11-Feb-25,True,Confirmation Date,2/11/2025 12:00:00 AM,"Ottawa, Michigan",Michigan,True,Commercial Turkey Meat Bird,Turkey,"55,200",55200
1/3/2025 12:00:00 AM,Idaho,Canyon,Canyon 17,WOAH Non-Poultry,NA,True,Confirmation Date,,"Canyon, Idaho",Idaho,False,WOAH Non-Poultry,Chicken,20,20
10/20/2022 12:00:00 AM,Colorado,Jefferson,Jefferson 02,WOAH Poultry,03-Nov-22,True,Confirmation Date,11/3/2022 12:00:00 AM,"Jefferson, Colorado",Colorado,True,WOAH Poultry,Poultry,50,50
